#,Batch,Title,Author,Summary,Rooms,Resolutions,Concept Originality,Mechanics Originality,Interesting Details,Map Quality,Humor,Content Rating,Average,Source File,Rated At,Model
26,2010,"Madam Lila's Speakeasy, Bath, and Brothel",Rich Lee,"A grid-based dungeon map depicting a well-organized, multi-room establishment including a bath hall, winery, wine hall, frolic room, lounges, bedrooms, and private quarters. Designed for social encounters, stealth, and exploration rather than traditional combat.",12,"Social, Roleplay, Exploration, Stealth",8.5,3.0,5.0,6.0,1.0,PG-13,5.62,E026_RichLee_MaddamLilaasSpeakeasyBathandBrothel.md,2026-06-28T06:43:20.122Z,deepseek/deepseek-v4-flash
27,2010,"Zombies, Maties",Michael Hutchinson,"A cross-genre one-page dungeon set on a derelict vessel that can be a frigate, power boat, or space galleon. A random lurching mechanic tilts the ship each turn, adding environmental hazards to the exploration.",6,"Combat, Exploration, Traps",5.0,4.0,2.0,4.0,2.0,PG-13,3.75,E027_MichaelHutchinson_ZombiesMaties.md,2026-06-28T06:43:18.248Z,deepseek/deepseek-v4-flash
28,2010,The Horrible Hermitage,Shawn Harris,"A ruined fortress turned hermitage is a front for the sorcerer Jando, who is resurrecting a despot to learn the secret of the Firebirds. The party must navigate traps, monsters, and a conspiracy to stop him.",13,"Combat, Diplomacy, Traps, Exploration, Roleplay",6.5,6.5,8.0,5.0,1.5,PG-13,6.5,E028_ShawnHarris_TheHorribleHermitage.md,2026-06-28T06:43:22.894Z,deepseek/deepseek-v4-flash
29,2010,The Order of the White Wick,Dennis Carter,"A former magical study, now a monster-haunted ruin due to a spell that turned its mages into degenerate ghouls. Treasure hunters must navigate trap-laden corridors and deadly creatures to claim the remaining secrets.",24,"Combat, Traps, Puzzles, Exploration",3.5,5.0,7.0,4.0,1.0,PG-13,4.88,E029_DennisCarter_TheOrderoftheWhiteWick.md,2026-06-28T06:43:18.125Z,deepseek/deepseek-v4-flash
30,2010,Escape from the Dragon's Lair,Deane Beman,A solo RPG where a lone adventurer must survive a dragon's attacks using a luck tracker and three action tables. Victory requires reaching 10 luck or escaping the dragon's boredom.,1,Combat,5.5,6.5,3.0,2.0,2.0,PG,4.25,E030_DeaneBeman_EscapefromtheDragonsLair.md,2026-06-28T06:43:18.439Z,deepseek/deepseek-v4-flash
31,2010,The Heart of Darkness,Lord Kilgore,"A hex-crawl adventure along a treacherous river deep into an unknown continent, with diverse encounters ranging from ghoul-crewed boats to vampire monks and giant snake-men. Travel is measured in days, and the river provides a linear path through a dangerous wilderness.",42,"Combat, Diplomacy, Roleplay, Exploration, Skill Challenges, Social",8.5,7.0,8.5,9.0,2.0,PG-13,8.25,E031_LordKilgore_HeartofDarkness.md,2026-06-28T06:43:26.680Z,deepseek/deepseek-v4-flash
32,2010,Archibald's Arena,Michael Christensen,"Archibald's Arena is a trap-filled dungeon created by a bored lich who kidnaps heroes to watch them navigate his maze. The dungeon includes five rooms with various traps, and the lich's backstory reveals his origin as a blacksmith's son turned necromancer.",5,"Traps, Exploration",6.5,4.0,5.0,4.0,3.0,PG-13,4.88,E032_MichaelChristensen_ArchibaldasArena.md,2026-06-28T06:43:29.907Z,deepseek/deepseek-v4-flash
33,2010,Raid on Black Goat Wood,Shane Mangus,"A sinkhole in the old forest leads to a four-level cavern system where a cult of Dark Satyrs worships the birthing chamber of Shub-Niggurath, the Dark Mother of a Thousand Young. Adventurers must survive, rescue prisoners, and seal the cave system against the eldritch horror.",4,"Combat, Rescue, Exploration, Skill Challenges",8.5,7.0,8.0,6.5,1.0,R,7.5,E033_ShaneMangus_RaidonBlackGoatWood.md,2026-06-28T06:43:31.069Z,deepseek/deepseek-v4-flash
34,2010,Woodland Ruins,James Carr,"A goblin shaman named Worsoth has unearthed an ancient tomb in the forest, seeking a powerful relic. The party must navigate goblin-occupied ruins, avoid traps, and confront the shaman to secure the artifact.",6,"Combat, Diplomacy, Traps, Exploration, Skill Challenges",3.5,3.5,4.0,3.0,1.0,PG-13,3.5,E034_JamesCarr_WoodlandRuins.md,2026-06-28T06:43:26.733Z,deepseek/deepseek-v4-flash
35,2010,The Village of Fairfen,Tim Morgan,"The party visits the village of Fairfen to obtain magical bog iron, but becomes embroiled in a folk-horror tradition where the King of Summer is ritually sacrificed. The village's iron-making requires personal sacrifices, and a plot to murder the current king complicates the stay.",12,"Combat, Diplomacy, Fetch Quests, Roleplay, Traps, Exploration, Skill Challenges, Social",7.5,6.5,7.5,6.5,1.0,PG-13,7.0,E035_TimMorgan_TheVillageofFairfen.md,2026-06-28T06:43:32.853Z,deepseek/deepseek-v4-flash
36,2010,"Velth, City of Traitors",Corwin Riddle,"A cursed city suspended by colossal chains in an abyss, filled with monsters and undead, where adventurers must navigate treacherous ruins to confront the Wrathful King. The city's betrayal and curse are revealed through encounters with dark elves, ghosts, and a giant worm.",21,"Combat, Diplomacy, Puzzles, Exploration, Traps, Roleplay",7.5,6.0,7.5,7.0,1.0,PG-13,7.0,E036_CorwinRiddle_CityofTraitors.md,2026-06-28T06:43:34.341Z,deepseek/deepseek-v4-flash
37,2010,Sewers of Victorian London,Fabien Deneuville,"In 1898 London, investigators pursue an aquatic hybrid into the sewers, discovering an abandoned lab used by a mad scientist for human-animal experiments. The party must navigate floodgates, a mutant piranha pool, and a puzzle to stop the creature and its creator's leftover chaos.",20,"Combat, Puzzles, Exploration, Skill Challenges",5.5,6.5,7.0,7.5,1.0,PG-13,6.62,E037_FabienDeneuville_SewersofVictorianLondon.md,2026-06-28T06:43:37.303Z,deepseek/deepseek-v4-flash
38,2010,The Crypt of Luân Phiên,Herwin Wielink,"A three-ring rotating clockwork dungeon where concentric chambers shift every five minutes, disorienting players and blocking exits. The party must navigate past guardian statues, undead hunters, and the specter of Luân himself to reach the central treasure.",14,"Combat, Exploration, Puzzles, Traps, Roleplay",8.0,9.0,7.0,9.0,1.0,PG-13,8.25,E038_HerwinWielink_TheCryptofLuaInPhieIn.md,2026-06-28T06:43:37.190Z,deepseek/deepseek-v4-flash
39,2010,Time 4 Tea,Clarabelle Chong,"An eerie warehouse floor plan doubles as a flyer for a tea-themed event. Investigators must navigate a multi-level complex filled with puzzles, mirrors, underwater tunnels, and strange machines to uncover secrets linked to missing tea and a missing person.",11,"Puzzles, Exploration, Traps",7.5,6.5,8.5,9.0,2.5,PG-13,7.88,E039_ClarabelleChong_TimeforTea.md,2026-06-28T06:43:42.567Z,deepseek/deepseek-v4-flash
40,2010,Four Corners,Paul Siegel,"An underground complex divided into four faction territories—a cultist temple, kobold warrens, a bugbear's court, and a gnomish workshop—surrounding the ruins of an old city block. Players navigate this hub-and-spoke dungeon with random encounters, environmental traps, and potential social or stealthy resolutions.",35,"Combat, Diplomacy, Stealth, Traps, Exploration, Skill Challenges, Social",7.5,7.0,8.0,8.0,3.0,PG-13,7.62,E040_PaulSiegel_FourCorners.md,2026-06-28T06:43:45.058Z,deepseek/deepseek-v4-flash
41,2010,The secret lab of the mages,Samuel Dennler,"A secret underground laboratory where mages research dangerous magic, connected to a village tavern. Adventurers must navigate traps, combat, and puzzles to explore rooms ranging from living quarters to a magical workshop.",20,"Combat, Puzzles, Traps, Exploration",4.5,3.5,5.5,6.0,1.5,PG-13,4.88,E041_SamuelDennler_TheSecretLaboftheMages.md,2026-06-28T06:43:41.555Z,deepseek/deepseek-v4-flash
42,2010,Dungeon from a Distant Star,Stuart Robertson,"An OSR adventure set in a crashed alien spaceship, where the surviving crew are trapped in a Phantom Prison and the pilot's restless spirit haunts the vessel. Players must navigate the ship's still-active systems and defenses to explore and survive.",23,"Combat, Exploration, Puzzles, Traps",7.0,7.5,8.0,6.0,1.0,PG-13,7.12,E042_StuartRobertson_DungeonFromADistantStar.md,2026-06-28T06:43:43.224Z,deepseek/deepseek-v4-flash
43,2010,Under-Desert of Qualorm,David Bedell,"An OSR-style hexcrawl set in a 60x80 mile subterranean desert with diverse factions (sandpeople, mudmen, hive) and trade routes. The dungeon features an isometric map, faction diplomacy, and 12 keyed locations including a sandhome hollow, hive colony, and dragon's lair.",12,"Combat, Diplomacy, Exploration, Traps, Roleplay, Skill Challenges",8.5,7.0,7.5,8.5,1.0,PG,7.88,E043_DavidBedell_UnderdesertofQualorm.md,2026-06-28T06:43:44.108Z,deepseek/deepseek-v4-flash
44,2010,The U-Turn Challenge,Mrrkyllothur,"A high-level dungeon where the party must enter one door and exit another within 12 hours, navigating a twisted layout that encourages backtracking. Encounters include classic monsters and can be skipped.",26,"Combat, Exploration, Stealth",7.0,5.5,4.0,5.0,1.0,PG-13,5.38,E044_Mrrkyllothur_TheUTurnChallenge.md,2026-06-28T06:43:51.309Z,deepseek/deepseek-v4-flash
45,2010,The Sage’s Keep,Darcy Stratton,"The Sage’s Keep is a tower secretly taken over by the naga Askala, who impersonates the sage Ronale to lure adventurers into helping her find a legendary item. The party must navigate multiple floors, rescue Ronale, and confront the naga and her ogre and kobold minions.",17,"Combat, Diplomacy, Puzzles, Roleplay, Social, Exploration",5.5,6.5,7.5,8.0,3.0,PG-13,6.88,E045_DarcyStratton_TheSageasTower.md,2026-06-28T06:44:14.765Z,deepseek/deepseek-v4-flash
46,2010,Central New Jersey After the 'Big Whoops',Adam Thornton,"A post-apocalyptic hex crawl set in a satirical New Jersey, featuring darkly comedic locations and monsters from the Meadowlands to the Pine Barrens. Players navigate rumors, tollbooth trolls, and the quest for Frank Sinatra's head.",12,"Combat, Diplomacy, Puzzles, Fetch Quests, Stealth, Roleplay, Exploration, Social",9.0,7.0,9.0,6.0,5.0,PG-13,7.75,E046_AdamThornton_CentralNewJerseyAftertheaBigWhoopsa.md,2026-06-28T06:43:53.909Z,deepseek/deepseek-v4-flash
47,2010,Smuggler’s Chantry,De Piper,"A chaotic cult uses a fake church as a cover for smuggling operations, with the smugglers mostly unaware of the cult's true nature. The adventurers must infiltrate the compound across three levels to uncover the truth and rescue a kidnapped girl.",18,"Combat, Exploration, Fetch Quests, Roleplay, Social",5.5,5.0,6.0,7.0,1.0,PG-13,5.88,E047_DeForestPiper_SmugglersChantry.md,2026-06-28T06:43:54.171Z,deepseek/deepseek-v4-flash
48,2010,The Last Priest of the Argent Scale,Michael Wiemholt,"Players pursue a dark priest through a temple built over molten lava, facing minions, traps, and a final confrontation. The dungeon is a short, linear sequence of combat encounters ending with a boss fight against the priest and his guards.",9,"Combat, Traps, Exploration",2.5,2.5,3.5,5.0,1.0,PG-13,3.38,E048_MichaelWiemholt_LastPriestArgentscale.md,2026-06-28T06:43:52.768Z,deepseek/deepseek-v4-flash
49,2010,The Laughing Mausoleum,Philippe Tromeur,"The heirs of the Morgensturm barons have vanished, and their mausoleum is now haunted by strange laughter. Adventurers must navigate burial chambers, goblin caves, and the lair of a ghoul alchemist to uncover the truth.",22,"Combat, Exploration, Roleplay, Traps, Skill Challenges",6.5,5.5,7.0,7.0,2.0,PG-13,6.5,E049_PhilippeTromeur_TheLaughingMausoleum.md,2026-06-28T06:43:56.670Z,deepseek/deepseek-v4-flash
50,2010,Crypt of the Shattered Mage-King,Rick Ray,"A classic OSR dungeon where adventurers explore the crumbling crypt of a forgotten mage-king, now a lich, facing undead, oozes, and traps. The map is a grid of ten rooms with secret doors and a non-linear layout.",10,"Combat, Traps, Exploration",2.5,2.0,4.0,5.0,1.0,PG-13,3.38,E050_RickRay_CryptoftheShatteredMageKing.md,2026-06-28T06:44:02.660Z,deepseek/deepseek-v4-flash
51,2010,The Contemptible Cube of Quazar,Jimm Lynk,"A classic dungeon crawl set inside a cube-shaped fortress transported to Earth by the wizard Quazar, who is trapped in his inner sanctum. Players must gather four sacred keys to free him, navigating shifting gravity, alien monsters, and malfunctioning technology.",29,"Combat, Exploration, Puzzles, Skill Challenges, Stealth, Traps",7.5,7.0,8.0,9.0,1.5,PG-13,7.88,E051_JimmJohnsonandJeffLynk_TheContemptibleCubeofQuazar.md,2026-06-28T06:44:02.430Z,deepseek/deepseek-v4-flash
52,2010,Arena of Horrors,Tom Allman,The PCs are teleported against their will into a magical arena of steel cages and must survive gladiatorial combat controlled by alien Brains in Jars and a Master Slave. They navigate the cages and central hub to possibly escape or defeat the masters.,14,"Combat, Exploration, Puzzles",7.5,7.0,6.5,7.0,1.0,PG-13,7.0,E052_TomAllman_ArenaofHorrors.md,2026-06-28T06:44:05.111Z,deepseek/deepseek-v4-flash
53,2010,The Vault of Zerduzan,Craig Brasco,"A burial shrine constructed by the demonologist Zerduzan for his favored servants, located beneath a ruined tower. The dungeon features 22 keyed areas including crypts, alcoves, and a cave system, with riddles, traps, and undead guardians.",22,"Combat, Puzzles, Traps, Exploration",6.0,4.0,8.0,7.0,1.0,PG-13,6.25,E053_CraigBrasco_TheVaultofZerduzan.md,2026-06-28T06:44:04.309Z,deepseek/deepseek-v4-flash
54,2010,Where is Margesh Blackblood?,Tim Shorts,"Players hunt the bandit lord Margesh Blackblood across four possible hideouts, each with unique encounters and traps. The module offers nonlinear investigation and combat as players find clues to his location.",16,"Combat, Traps, Exploration, Roleplay",5.0,5.0,6.5,6.0,1.5,PG-13,5.62,E054_TimShorts_WhereisMargeshBlackblood.md,2026-06-28T06:44:06.167Z,deepseek/deepseek-v4-flash
55,2010,Familiar Territory,Andrew Durston,Players descend through a volcanic cavern beneath an alpine lake to reach the lair of a miniature red dragon. The dungeon is a cross-section of tunnels and chambers that transition from cold to hot environments.,12,"Exploration, Skill Challenges",6.5,5.0,6.0,7.0,1.0,PG,6.12,E055_AndrewDurston_FamiliarTerritory.md,2026-06-28T06:44:10.404Z,deepseek/deepseek-v4-flash
56,2010,The Tunnels of Turrack the Terrible,Chris Gonzales,"A dungeon crawl through the tunnels of the terrible Turrack, with a backstory about a ridiculed mage named Robert the Red. Includes randomized tables for dynamic gameplay events and character stats integrated into the handout.",10,"Combat, Exploration",3.0,2.0,2.0,3.0,2.5,PG,2.5,E056_ChrisGonzales_TheTunnelsofTurracktheTerrible.md,2026-06-28T06:44:10.030Z,deepseek/deepseek-v4-flash
57,2010,Gas -n- Die,James Jarvis,"A post-apocalyptic roadside gas station filled with mutants, cannibals, and scavengers. Players must navigate cramped, barricaded rooms to find supplies and a hidden entry code.",10,"Combat, Puzzles, Exploration",7.5,4.0,7.0,5.0,3.5,PG-13,5.88,E057_JamesDJarvis_GasnDie.md,2026-06-28T06:44:12.452Z,deepseek/deepseek-v4-flash
58,2010,Hall of the Undying,Greg Hartman,"A necromancer's hidden tomb filled with undead minions and traps, accessed via a magical portal. Players explore 17 keyed rooms, encountering monsters, puzzles, and moral choices.",17,"Combat, Diplomacy, Roleplay, Traps, Exploration",6.5,7.0,7.5,5.0,1.0,PG-13,6.5,E058_GregHartman_HalloftheUndying.md,2026-06-28T06:44:16.027Z,deepseek/deepseek-v4-flash
59,2010,Trolls will be Trolls,Heron Prior,"A one-page dungeon set in Vulture's Crag, where players must deal with a troll witch and her raiding brood. The complex features multiple factions, various threats, and hidden secrets beyond the straightforward bounty.",13,"Combat, Diplomacy, Roleplay, Exploration, Skill Challenges, Traps",7.5,7.0,8.5,7.0,3.0,R,7.5,E059_HeronPrior_TrollswillbeTrolls.md,2026-06-28T06:44:18.034Z,deepseek/deepseek-v4-flash
60,2010,The Haunted Shrine,Todd Hughes,"A shrine in a local town is haunted by the ghost of a murdered priest, and disappearances have made the townsfolk blame the supernatural. Adventurers must investigate the shrine's two levels to uncover the truth.",10,"Combat, Exploration",3.0,2.0,2.5,3.5,1.0,PG-13,2.75,E060_ToddHughes_TheHauntedShrine.md,2026-06-28T06:44:19.291Z,deepseek/deepseek-v4-flash
61,2010,Squatters!,Ron Parker,"Villagers paying tribute to a red dragon discover the dragon has long since left, and the lair is now occupied by an illusionist-turned-squatter and later a goblin band. The party must rescue the mayor's son and deal with the bugbear chief.",19,"Combat, Puzzles, Exploration",6.5,5.5,6.5,6.0,1.5,PG-13,6.12,E061_RonParker_Squatters.md,2026-06-28T06:44:19.573Z,deepseek/deepseek-v4-flash
62,2010,Copper Mine Conundrum,Scott Morrison,"A village asks adventurers to investigate a copper mine where contact has been lost. They discover a three-way conflict between goblin raiders and a mad necromancer's undead, and must navigate three levels to confront the necromancer.",25,"Combat, Stealth, Traps, Exploration",6.0,5.0,7.0,8.0,2.0,PG-13,6.5,E062_ScottMorrison_CopperMineConundrum.md,2026-06-28T06:44:27.584Z,deepseek/deepseek-v4-flash
63,2010,The Ruination of Tenamen (Grom's Undoing),Simon Bull,"A band of adventurers discovers the hideout of the orc chieftain Grom, only to find it is a complex warren filled with monsters, traps, and a medusa lurking in the depths. The dungeon features a large cave system with a river, multiple levels, and secret passages.",23,"Combat, Exploration, Stealth, Roleplay",4.5,3.0,6.0,7.0,1.0,PG-13,5.12,E063_SimonBull_TheRuinationOfTenamen.md,2026-06-28T06:44:32.096Z,deepseek/deepseek-v4-flash
